,imdbId,title,releaseYear,genre,actors,directors,hitFlop
504,tt0845492,My Name Is Anthony Gonsalves,2008,Action | Comedy | Crime,Nikhil Dwivedi | Amrita Rao | Mithun Chakraborty | Anupam Kher,Eeshwar Nivas,1
505,tt0845494,Nanhe Jaisalmer: A Dream Come True,2007,Comedy | Drama | Family,Dwij Yadav | Bobby Deol | Sharat Saxena | Vivek Shaq,Samir Karnik,1
506,tt0845503,Nigehbaan: The Third Eye,2005,Thriller,Sameer Dharmadhikari | Sandali Sinha | Sayaji Shinde | Govind Namdeo,Dilip Shankar,1
507,tt0845529,Risk,2007,Action | Drama | Thriller,Vinod Khanna | Randeep Hooda | Tanushree Dutta | Madhuri Bhagwat,Vishram Sawant,1
508,tt0847180,Loot,2011,Action | Comedy | Crime,Shweta Bhardwaj | Mimoh Chakraborty | Prem Chopra | Sudhir S. Dayma,Rajnish Thakur,1
509,tt0847758,Pyaar Zindagi Hai,2001,Thriller,Rajesh Khanna | Mohnish Bahl | Ashima Bhalla | Asawari Joshi,Vijay Sadanah,1
510,tt0857381,I See You,2006,Comedy | Drama | Romance,Arjun Rampal | Vipasha Agarwal | Chunky Pandey | Boman Irani,Vivek b Agrawal,1
511,tt0860454,MP3: Mera Pehla Pehla Pyaar,2007,Drama | Romance,Menekka Arora | Sarthak Bhasin | Sagar Chawla | Hazel Croney,Robby Grewal,1
512,tt0872190,Cash,2007,Action | Drama | Thriller,Ajay Devgn | Sunil Shetty | Zayed Khan | Ritesh Deshmukh,Anubhav Sinha,2
513,tt0874854,Anjaane: The Unkown,2005,Horror,Manisha Koirala | Sanjay Kapoor | Helen | Daisy Irani,Harryy W. Fernaandes,1
514,tt0875692,Aggar: Passion Betrayal Terror,2007,Romance | Thriller,Tusshar Kapoor | Udita Goswami | Shreyas Talpade | Sophiya Chaudhary,Anant Mahadevan,1
515,tt0882969,The Golden Boys,2008,Comedy | Romance,David Carradine | Rip Torn | Bruce Dern | Mariel Hemingway,Daniel Adams,1
516,tt0885398,Anamika: The Untold Story,2008,Drama | Romance | Thriller,Dino Morea | Minissha Lamba | Koena Mitra | Gulshan Grover,Anant Mahadevan,1
517,tt0886505,Kaafila,2007,Action,Sunny Deol | Ammtoje Mann | Sudesh Berry | Sana,Ammtoje Mann,1
518,tt0886539,Luck by Chance,2009,Drama,Farhan Akhtar | Konkona Sen Sharma | Rishi Kapoor | Dimple Kapadia,Zoya Akhtar,2
519,tt0887753,Kya Love Story Hai,2007,Comedy | Drama | Romance,Tusshar Kapoor | Ayesha Takia | Karan Hukka | Rahul Singh,Lovely Singh,1
520,tt0892874,Halla Bol,2008,Action | Crime | Drama,Ajay Devgn | Vidya Balan | Pankaj Kapur | Darshan Jariwala,Rajkumar Santoshi,2
521,tt0893585,Detective Naani,2009,Crime | Drama | Family,Ava Mukherjee | Zain Khan | Simran Singh | Amrita Raichand,Romilla Mukherjee,1
522,tt0896968,Red: The Dark Side,2007,Drama | Romance | Thriller,Aftab Shivdasani | Celina Jaitly | Amrita Arora | Amin Hajee,Vikram Bhatt,2
523,tt0898943,Raqeeb,2007,Crime | Drama | Mystery,Rahul Khanna | Sharman Joshi | Tanushree Dutta | Jimmy Shergill,Anurag Singh,1
524,tt0920464,Manorama Six Feet Under,2007,Crime | Drama | Mystery,Abhay Deol | Gul Panag | Raima Sen | Sarika,Navdeep Singh,1
525,tt0926029,99.9 FM,2005,Crime,Shawar Ali | Jaipreet Nagra | Raima Sen | Dipannita Sharma,Sanjay Bhatia,1
526,tt0926187,Arjun Devaa,2001,Action | Crime | Musical,Mithun Chakraborty | Puru Rajkumar | Rutika Singh | Gajendra Chouhan,Imran Khan,1
527,tt0964516,Fashion,2008,Drama | Romance,Priyanka Chopra | Kangana Ranaut | Mugdha Godse | Arbaaz Khan,Madhur Bhandarkar,4
528,tt0976026,Cheeni Kum,2007,Comedy | Romance,Amitabh Bachchan | Tabu | Paresh Rawal | Zohra Segal,R. Balki,5
529,tt0979891,Hattrick,2007,Comedy | Drama | Romance,Nana Patekar | Danny Denzongpa | Paresh Rawal | Kunal Kapoor,Milan Luthria,2
530,tt0982875,Gauri: The Unborn,2007,Drama | Horror | Thriller,Mohan Azaad | Anupam Kher | Atul Kulkarni | Manasi,Aku Akbar,1
531,tt0985636,Laaga Chunari Mein Daag: Journey of a Woman,2007,Drama,Abhishek Bachchan | Rani Mukerji | Konkona Sen Sharma | Jaya Bhaduri,Pradeep Sarkar,2
532,tt0986213,Aaja Nachle,2007,Drama | Musical,Madhuri Dixit | Darshan Jariwala | Raghuvir Yadav | Divya Dutta,Anil Mehta,2
533,tt0986264,Taare Zameen Par,2007,Drama | Family,Darsheel Safary | Aamir Khan | Tanay Chheda | Sachet Engineer,Aamir Khan | Amole Gupte,7
534,tt0988655,A Flat,2010,Drama | Horror | Romance,Jimmy Shergill | Sanjay Suri | Hazel Croney | Kaveri Jha,Hemant Madhukar,1
535,tt0989633,Delhii Heights,2007,Drama | Romance,Jimmy Shergill | Neha Dhupia | Kamini Khanna | Madhavan,R. Anand Kumar,1
536,tt0991267,30 Days,2004,Horror,Abhay Bhargav | Milind Gunaji | Dinesh Hingoo | Mushtaq Khan,Ravi Sinha,1
537,tt0991346,Bhoothnath,2008,Comedy | Drama | Fantasy,Amitabh Bachchan | Juhi Chawla | Satish Shah | Rajpal Yadav,Vivek Sharma,4
538,tt0995031,Bhool Bhulaiyaa,2007,Comedy | Horror | Mystery,Akshay Kumar | Vidya Balan | Ameesha Patel | Shiney Ahuja,Priyadarshan,6
539,tt0995035,Dhol,2007,Comedy,Sharman Joshi | Tusshar Kapoor | Kunal Khemu | Rajpal Yadav,Priyadarshan,4
540,tt0995718,Ek Chalis Ki Last Local,2007,Adventure | Comedy | Crime,Abhay Deol | Neha Dhupia | Amit Mistry | Ashok Samarth,Sanjay M. Khanduri,1
541,tt0995740,No Smoking,2007,Drama | Thriller,John Abraham | Ayesha Takia | Paresh Rawal | Ranvir Shorey,Anurag Kashyap,1
542,tt0995752,Tashan,2008,Action | Comedy | Crime,Akshay Kumar | Saif Ali Khan | Kareena Kapoor | Anil Kapoor,Vijay Krishna Acharya,3
543,tt0995823,Khoya Khoya Chand,2007,Drama | Romance,Shiney Ahuja | Soha Ali Khan | Rajat Kapoor | Vinay Pathak,Sudhir Mishra,1
544,tt0995827,The Train: Some Lines Shoulder Never Be Crossed...,2007,Thriller,Emraan Hashmi | Geeta Basra | Rajat Bedi | Anant Mahadevan,Hasnain Hyderabadwala | Raksha Mistry,2
545,tt0995840,Aap Kaa Surroor: The Moviee - The Real Luv Story,2007,Drama | Romance | Thriller,Himesh Reshammiya | Hansika Motwani | Mallika Sherawat | Shravan Rathod,Prashant Chadha,4
546,tt1014672,Bheja Fry,2007,Comedy | Drama,Vinay Pathak | Rajat Kapoor | Sarika | Milind Soman,Sagar Ballary,6
547,tt1016044,Yehi Hai Zindagi,2005,Action | Crime | Drama,Parvin Dabas | Benjamin Gilani | Sahil Khan | Sheetal Kshirsagar,Ajay Phansekar | Raam Shetty,1
548,tt1016159,Chain Kulii Ki Main Kulii,2007,Comedy | Drama | Family,Anand Abhyankar | Parimal Aloke | Chandan Anand | Bobby Bedi,Kittu Saluja,1
549,tt1017456,Race,2008,Action | Crime | Drama,Saif Ali Khan | Akshaye Khanna | Bipasha Basu | Katrina Kaif,Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla,6
550,tt1020937,Awarapan,2007,Action | Crime | Drama,Salil Acharya | Emraan Hashmi | J. Brandon Hill | Rehan Khan,Mohit Suri,1
551,tt1020978,Naqaab,2007,Crime | Drama | Romance,Bobby Deol | Akshaye Khanna | Urvashi Sharma | Vikas Kalantri,Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla,1
552,tt1024839,De Taali,2008,Comedy | Drama | Romance,Aftab Shivdasani | Ayesha Takia | Ritesh Deshmukh | Rimi Sen,Eeshwar Nivas,2
553,tt1024852,Meerabai Not Out,2008,Comedy | Drama | Romance,Anupam Kher | Mahesh Manjrekar | Mandira Bedi | Eijaz Khan,Chandrakant Kulkarni,1
554,tt1024943,Om Shanti Om,2007,Action | Comedy | Drama,Shah Rukh Khan | Arjun Rampal | Kiron Kher | Shreyas Talpade,Farah Khan,8
555,tt1029231,Krrish 3,2013,Action | Sci-Fi,Hrithik Roshan | Amitabh Bachchan | Priyanka Chopra | Naseeruddin Shah,Rakesh Roshan,8
556,tt1034449,Kidnap,2008,Crime | Drama | Thriller,Sanjay Dutt | Imran Khan | Minissha Lamba | Vidya Malvade,Sanjay Gadhvi,2
557,tt1039989,Sunday,2008,Action | Comedy | Romance,Ajay Devgn | Ayesha Takia | Arshad Warsi | Irrfan Khan,Rohit Shetty,2
558,tt1039995,U Me Aur Hum,2008,Comedy | Drama | Romance,Ajay Devgn | Kajol | Sumeet Raghvan | Divya Dutta,Ajay Devgn,2
559,tt1043451,Delhi-6,2009,Comedy | Drama,Waheeda Rehman | Abhishek Bachchan | Sonam Kapoor | Rishi Kapoor,Rakeysh Omprakash Mehra,2
560,tt1043876,Woodstock Villa,2008,Drama | Mystery | Thriller,Sikander Kher | Neha Uberoi | Arbaaz Khan | Gulshan Grover,Hansal Mehta,2
561,tt1047519,Red Swastik,2007,Crime | Drama | Thriller,Sherlyn Chopra | Udayyan Raathore | Zahid Ali | Amrita,Vinod Pande,1
562,tt1050739,Roadside Romeo,2008,Animation | Comedy | Family,Saif Ali Khan | Kareena Kapoor | Javed Jaffrey | Vrajesh Hirjee,Jugal Hansraj,1
563,tt1056465,Chanchal,2008,Drama | Musical,Armaan Shahabi | Gracy Singh,Indrajit Singh,1
564,tt1060249,Drona,2008,Action | Adventure | Drama,Jayshree Arora | Veer Arya | Abhishek Bachchan | Jaya Bhaduri,Goldie Behl,1
565,tt1065099,My Friend Ganesha,2007,Animation,Arun Bakshi | Ahsaas Channa | Kiran Janjani | Mushtaq Khan,Rajiv S. Ruia,2
566,tt1077248,Johnny Gaddaar,2007,Crime | Drama | Thriller,Dharmendra | Rimi Sen | Ashwini Khalsekar | Neil Nitin Mukesh,Sriram Raghavan,2
567,tt1079967,Hastey Hastey Follow Your Heart,2008,Comedy | Drama,Jimmy Shergill | Rajpal Yadav | Shakti Kapoor | Ann Marie Seall,Ramanjit Juneja | Tony,1
568,tt1083447,Buddha Mar Gaya,2007,Comedy,Mona Ambegaonkar | Jitender Bhargava | Birbal | Heenaa Biswas,Rahul Rawail,2
569,tt1083988,Journey Bombay to Goa: Laughter Unlimited,2007,Comedy,Sunil Pal | Raju Srivastava | Vijay Raaz | Ehsaan Qureshi,Raj Pendurkar,2
570,tt1084972,Wanted,2009,Action | Comedy | Crime,Salman Khan | Ayesha Takia | Vinod Khanna | Mahesh Manjrekar,Prabhudheva,6
