,Actor,Genre
598,Himesh Reshammiya,Action
599,Shreyas Talpade,Comedy
600,Aamir Khan,Action
601,nan,Animation
602,Tusshar Kapoor,Comedy
603,Paresh Rawal,Comedy
604,Harman Baweja,Drama
605,Cary Elwes,Animation
606,Kareena Kapoor,Comedy
607,Vikas Anand,Action
608,Delhi Ganesh,Fantasy
609,Rajendraprasad,Action
610,Neetu Chandra,Action
611,Shreyas Talpade,Comedy
612,Kunal Khemu,Drama
613,Vivek Oberoi,Action
614,Ranvir Shorey,Comedy
615,Sushmita Sen,Comedy
616,Juhi Chawla,Action
617,Shah Rukh Khan,Comedy
618,Ranbir Kapoor,Comedy
619,Amitabh Bachchan,Drama
620,Rekha,Drama
621,Kay Kay Menon,Crime
622,Salman Khan,Action
623,Abhishek Bachchan,Comedy
624,Kareena Kapoor,Action
625,Aamir Khan,Comedy
626,Salman Khan,Action
627,Shah Rukh Khan,Drama
628,Ajay Devgn,Animation
629,Gul Panag,Comedy
630,Rishi Kapoor,Comedy
631,Priyanka Chopra,Comedy
632,Nana Patekar,Drama
633,Isha Koppikar,Drama
634,Hrithik Roshan,Action
635,Gaurav Kapoor,Comedy
636,Manisha Koirala,Drama
637,Fardeen Khan,Action
638,Chetanya Adeep,Thriller
639,Naseeruddin Shah,Comedy
640,Shahid Kapoor,Comedy
641,Dino Morea,Drama
642,Ajita,Drama
643,Emraan Hashmi,Crime
644,Amitabh Bachchan,Drama
645,Konkona Sen Sharma,Comedy
646,Irrfan Khan,Comedy
647,Kay Kay Menon,Drama
648,Malaika Arora,Comedy
649,Shreyas Talpade,Comedy
650,Raj Singh Arora,Drama
651,Akshay Kumar,Action
652,Kay Kay Menon,Drama
653,John Abraham,Comedy
654,Shubhankar Atre,Action
655,Mimoh Chakraborty,Action
656,Sunil Shetty,Action
657,Nargis Bagheri,Crime
658,Arjun Rampal,Drama
659,Irrfan Khan,Comedy
660,Sanjay Dutt,Drama
661,Mithun Chakraborty,Drama
662,Azghar,Action
663,Jackie Shroff,Comedy
664,Rajeev Khandelwal,Drama
665,Kiron Kher,Comedy
666,Harman Baweja,Comedy
667,Mithun Chakraborty,Action
668,David Bueno,Action
669,Mallika Sherawat,Comedy
670,Neil Nitin Mukesh,Drama
671,Amita Pathak,Drama
672,Rishi Rehan,Comedy
673,Hrishitaa Bhatt,Drama
674,Katrina Kaif,Comedy
675,Kay Kay Menon,Comedy
676,Jackie Shroff,Comedy
677,Akshay Kumar,Comedy
678,Navin Berry,Action
679,Ahraz Ahmed,Crime
680,Kay Kay Menon,Crime
681,Bobby Khan,Crime
682,Bobby Deol,Action
683,Paresh Rawal,Drama
684,Saahil Chadha,Drama
685,Sudeep,Drama
686,Shahid Kapoor,Action
687,Saif Ali Khan,Comedy
688,Parzan Dastur,Crime
689,Sahil Khan,Animation
690,Anupam Kher,Drama
691,Harsh Chhaya,Animation
692,Shah Rukh Khan,Action
693,Farooq Shaikh,Action
694,Sammir Dattani,Crime
695,Vinay Pathak,Comedy
696,Randeep Hooda,Drama
697,Naseeruddin Shah,Action
698,Varun Bhagwat,Action
699,Abhay Deol,Comedy
700,Rajneesh Duggal,Drama
701,Aftab Shivdasani,Comedy
702,Alisha,Action
703,Sushant Singh,Comedy
704,Rati Agnihotri,Drama
705,Sadashiv Amrapurkar,Comedy
706,Ranbir Kapoor,Comedy
707,Arjun Rampal,Crime
708,Brahim Achabbakhe,Action
709,Abhay Deol,Comedy
710,Shabana Azmi,Comedy
711,John Abraham,Crime
712,Naseeruddin Shah,Crime
713,Akshay Kumar,Animation
714,Rajit Kapoor,Mystery
715,Abhishek Bachchan,Action
716,Ganesh Acharya,Comedy
717,Kangana Ranaut,Drama
718,Govinda,Comedy
719,Naseeruddin Shah,Comedy
720,Uday Chopra,Comedy
721,Govinda,Comedy
722,Sanjay Dutt,Action
723,Dev Anand,Drama
724,Rakesh Bedi,Action
725,Kunal Khemu,Comedy
726,Jackie Shroff,Action
727,Rajesh Khanna,Drama
728,Neil Nitin Mukesh,Action
729,Dino Morea,Crime
730,Farhan Akhtar,Drama
731,Anil Kapoor,Action
732,Madhavan,Drama
733,Aashish Chaudhary,Drama
734,Arunoday Singh,Comedy
735,Paresh Rawal,Comedy
736,Rajat Kapoor,Crime
737,Shahid Kapoor,Comedy
738,Kareena Kapoor,Action
739,Ajay Devgn,Crime
740,Akshay Kumar,Comedy
741,Vinay Pathak,Comedy
742,Sunil Shetty,Comedy
743,Jahan Bloch,Action
744,Nitin,Drama
745,Anita,Action
746,Rohit Roy,Drama
747,Kareena Kapoor,Drama
748,Anil Kapoor,Action
749,Sonali Kulkarni,Thriller
750,Prateik,Drama
751,Sanjay Dutt,Action
752,Ranbir Kapoor,Comedy
753,Hrithik Roshan,Comedy
754,Asrani,Action
755,Vinod Khanna,Action
756,Nana Patekar,Comedy
757,Mithun Chakraborty,Comedy
758,Omkar Das Manikpuri,Comedy
759,Amitabh Bachchan,Drama
760,Rana Jung Bahadur,Action
761,Sohail Khan,Action
762,Akshay Kumar,Comedy
763,Vivek Oberoi,Action
764,Jackie Shroff,Drama
765,Anay,Comedy
766,Arshad Warsi,Comedy
767,Paresh Rawal,Drama
768,Randeep Hooda,Comedy
769,Shreyas Talpade,Comedy
770,Meghan Jadhav,Comedy
771,Ruslaan Mumtaz,Drama
772,Priyanka Chopra,Comedy
773,Nargis Bagheri,Drama
774,Himesh Reshammiya,Comedy
775,Joseph Armillas,Action
776,Sudhanshu Pandey,Drama
777,Mithun Chakraborty,Action
778,Sonam Kapoor,Comedy
779,Prateik,Comedy
780,Bobby Deol,Drama
781,Mantra,Drama
782,Amitabh Bachchan,Comedy
783,Rishi Kapoor,Comedy
784,Aftab Shivdasani,Comedy
785,Sanjay Dutt,Action
786,Gayatri Patel Bahl,Crime
787,Mithun Chakraborty,Action
788,Arjun Rampal,Action
789,Katrina Kaif,Adventure
790,Bobby Bahal,Comedy
791,Farooq Shaikh,Crime
792,Katrina Kaif,Comedy
793,Akshay Kumar,Comedy
794,Siddharth,Crime
795,Ajay Devgn,Comedy
796,Deepika Padukone,Comedy
797,nan,Comedy
798,Ravi Kapoor,Crime
799,Anuj Saxena,Action
800,Tinnu Anand,Action
801,Shreyas Talpade,Drama
802,Aditya Narayan,Action
803,Shahid Kapoor,Comedy
804,Shahana Goswami,Drama
805,Tabu,Comedy
806,Anupam Kher,Action
807,Paul Sidhu,Action
808,Neil Nitin Mukesh,Crime
809,Arun Govil,Animation
810,Mukesh Bhatt,Comedy
811,Hazel Croney,Drama
812,Sachin Khedekar,Crime
813,Nushrat Bharucha,Comedy
814,Arbaaz Khan,Comedy
815,Ranveer Singh,Comedy
816,Tanushree Dutta,Drama
817,Vikram Aditya,Drama
818,Sudeep,Drama
819,Sushant Singh,Comedy
820,Abhishek Bachchan,Action
821,Rahul Bose,Drama
822,Madhu Acharya,Action
823,Salman Khan,Action
824,Om Puri,Comedy
825,Kitu Gidwani,Drama
826,Shahid Kapoor,Drama
827,Atul Kulkarni,Action
828,Bhushan Agarwal,Drama
829,Priyanka Chopra,Drama
830,Ali Zafar,Comedy
831,Vikrum Kumar,Action
832,Anupam Kher,Action
833,Gurpreet Chadha,Crime
834,Barkha Madan,Action
835,nan,Animation
836,Himesh Reshammiya,Crime
837,Jackie Shroff,Action
838,Rikkee,Drama
839,Abhishek Bachchan,Action
840,Rajat Barmecha,Drama
841,Deepti Naval,Crime
842,Prashant Narayanan,Drama
843,Ranvir Shorey,Comedy
844,Bobby Deol,Drama
845,Gul Panag,Comedy
846,Ritesh Deshmukh,Comedy
847,Caterina Lopez,Crime
848,Imran Khan,Comedy
849,Deepak Dobriyal,Comedy
850,Rajpal Yadav,Comedy
851,Rajpal Yadav,Comedy
852,Sonali Gulati,Documentary
853,Madhavan,Comedy
854,Vinay Pathak,Comedy
855,Kareena Kapoor,Comedy
856,Anil Kapoor,Action
857,Ajay Devgn,Action
858,Salman Khan,Comedy
859,Rishi Kapoor,Comedy
860,Akshay Kumar,Comedy
861,Ajay Devgn,Comedy
862,Ajay Devgn,Comedy
863,Salman Khan,Romance
864,Rani Mukerji,Crime
865,Supriya Pathak,Comedy
866,Gulshan Grover,Action
867,Ravi Kishan,Drama
868,Kay Kay Menon,Comedy
869,Manoj Bajpayee,Comedy
870,Imran Khan,Comedy
871,Zeenat Aman,Drama
872,Manoj Bajpayee,Animation
873,Rituparna Sengupta,Drama
874,Emraan Hashmi,Action
875,Irrfan Khan,Crime
876,Aniruddh Agarwal,Horror
877,Abhishek Bachchan,Action
878,Rajat Kapoor,Comedy
879,Suzanne Bernert,Comedy
880,Nafisa Ali,Action
881,Sohrab Ardeshir,Comedy
882,Akshay Oberoi,Comedy
883,Luna Rioumina,Action
884,Manoj Bajpayee,Action
885,Aamir Khan,Crime
886,Makarand Anaspure,Animation
887,Rachita Bhattacharya,Crime
888,Rahul Jaiswal,Drama
889,Kashmira Shah,Thriller
890,Ashish Kattar,Animation
891,Aditya Srivastava,Action
892,Vinay Pathak,Comedy
893,Ishaan Manhaas,Drama
894,Nassar Abdulla,Drama
895,Vidya Balan,Drama
896,Brahim Achabbakhe,Action
897,Sumit Arora,Action
898,Vatsal Seth,Action
899,Nana Patekar,Action
900,Ajay Devgn,Action
901,Aamir Khan,Action
902,Bhairavi Goswami,Comedy
903,Kalki Koechlin,Action
904,Ranbir Kapoor,Music
905,Aarav Khanna,Comedy
906,Mikaal,Romance
907,Amitabh Bachchan,Drama
908,Hrithik Roshan,Action
909,Faith,Romance
910,Om Puri,Comedy
911,Amitabh Bachchan,Action
912,Zayed Khan,Comedy
