,Actor,Top Genres
259,Kiron Kher,"[('Comedy', 8), ('Drama', 8), ('Romance', 6)]"
260,David Bueno,"[('Action', 2), ('Crime', 2), ('Drama', 1)]"
261,Neil Nitin Mukesh,"[('Drama', 6), ('Crime', 6), ('Action', 3)]"
262,Amita Pathak,"[('Romance', 2), ('Drama', 1)]"
263,Rishi Rehan,"[('Comedy', 1), ('Drama', 1), ('Romance', 1)]"
264,Hrishitaa Bhatt,"[('Drama', 7), ('Romance', 5), ('Comedy', 4)]"
265,Katrina Kaif,"[('Comedy', 10), ('Romance', 9), ('Drama', 9)]"
266,Navin Berry,"[('Action', 1), ('Crime', 1), ('Drama', 1)]"
267,Ahraz Ahmed,"[('Crime', 1), ('Drama', 1), ('Thriller', 1)]"
268,Bobby Khan,"[('Crime', 1)]"
269,Saahil Chadha,"[('Drama', 1)]"
270,Sudeep,"[('Drama', 2), ('Horror', 2), ('Mystery', 2)]"
271,Parzan Dastur,"[('Crime', 1), ('Drama', 1), ('Mystery', 1)]"
272,Sahil Khan,"[('Comedy', 3), ('Action', 2), ('Animation', 1)]"
273,Harsh Chhaya,"[('Animation', 1), ('Action', 1), ('Drama', 1)]"
274,Farooq Shaikh,"[('Drama', 8), ('Action', 2), ('Crime', 2)]"
275,Sammir Dattani,"[('Drama', 3), ('Mystery', 2), ('Crime', 1)]"
276,Randeep Hooda,"[('Drama', 13), ('Romance', 7), ('Thriller', 5)]"
277,Varun Bhagwat,"[('Action', 1), ('Crime', 1), ('Drama', 1)]"
278,Rajneesh Duggal,"[('Drama', 2), ('Mystery', 2), ('Action', 1)]"
279,Alisha,"[('Action', 1), ('Drama', 1), ('Thriller', 1)]"
280,Sushant Singh,"[('Drama', 6), ('Comedy', 3), ('Thriller', 3)]"
281,Rati Agnihotri,"[('Drama', 13), ('Comedy', 10), ('Romance', 8)]"
282,Brahim Achabbakhe,"[('Action', 2), ('Crime', 1), ('Drama', 1)]"
283,Rajit Kapoor,"[('Drama', 4), ('Thriller', 2), ('Mystery', 1)]"
284,Ganesh Acharya,"[('Comedy', 1), ('Music', 1), ('Drama', 1)]"
